shop,shop_id,item_id,product_name,current_price,original_price,discount_percent,rating,rating_count,sold_count,monthly_sold,liked_count,brand,product_url,product_name_clean,sold_count_num,monthly_sold_num,shop_clean,product_type,product_name_norm,storage_options,canonical_product_name,canonical_product_id,absa_weighted_sum,absa_weight_sum,total_aspect_mentions,avg_positive_rate,avg_negative_rate,avg_neutral_rate,absa_score_raw,absa_score,BATTERY_positive_rate,CAMERA_positive_rate,DESIGN_positive_rate,FEATURES_positive_rate,GENERAL_positive_rate,PERFORMANCE_positive_rate,PRICE_positive_rate,SCREEN_positive_rate,SERANDACC_positive_rate,STORAGE_positive_rate,BATTERY_negative_rate,CAMERA_negative_rate,DESIGN_negative_rate,FEATURES_negative_rate,GENERAL_negative_rate,PERFORMANCE_negative_rate,PRICE_negative_rate,SCREEN_negative_rate,SERANDACC_negative_rate,STORAGE_negative_rate,BATTERY_neutral_rate,CAMERA_neutral_rate,DESIGN_neutral_rate,FEATURES_neutral_rate,GENERAL_neutral_rate,PERFORMANCE_neutral_rate,PRICE_neutral_rate,SCREEN_neutral_rate,SERANDACC_neutral_rate,STORAGE_neutral_rate,BATTERY_total_mentions,CAMERA_total_mentions,DESIGN_total_mentions,FEATURES_total_mentions,GENERAL_total_mentions,PERFORMANCE_total_mentions,PRICE_total_mentions,SCREEN_total_mentions,SERANDACC_total_mentions,STORAGE_total_mentions,price_score,rating_score,sold_score,review_confidence_score,absa_score_norm,buy_score_100,recommendation_label,rank,num_shops,price_advantage_score,absa_compare_score,rating_compare_score,sold_compare_score,review_trust_score,same_product_buy_score,rank_in_same_product
viettel_store_aar,308461157,26479439804,iPad A16 11 inch WIFI 128GB Chính hãng,9890000.0,11490000.0,14,4.946031746031746,0.0,10k+ sold,1k+ Sold/Month,6294,Apple,https://shopee.vn/product/308461157/26479439804,ipad a16 11 inch wifi 128gb chính hãng,10000,1000,viettel_store_aar,tablet,ipad a16 11 inch wifi 128gb,128gb,ipad a16 128gb,72,,,0.0,0.0,0.0,,,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9815950920245399,0.9892063492063492,0.8371516844512277,0.0,0.5,71.8812795515089,Đáng cân nhắc,59,2,0.9815950920245399,0.0,0.02426782417803734,1.0,0.0,44.81187012340675,2
apple_flagship_store,88201679,29832838640,Apple iPad A16 11 inch 2025 Wifi + Cellular 128GB,14690000.0,14990000.0,2,4.96875,0.0,299 sold,1 Sold/Month,489,Apple,https://shopee.vn/product/88201679/29832838640,apple ipad a16 11 inch 2025 wifi + cellular 128gb,299,1,apple_flagship_store,tablet,apple ipad a16 11 inch 2025 wifi + cellular 128gb,128gb,ipad a16 128gb,72,43.7,57.0,57.0,0.7797178130511464,0.1679012345679012,0.0523809523809523,0.7666666666666667,88.33333333333333,1.0,0.0,0.8888888888888888,1.0,0.9285714285714286,0.8,0.6666666666666666,1.0,0.7333333333333333,0.0,0.0,1.0,0.1111111111111111,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.3333333333333333,0.0,0.0666666666666666,0.0,2.0,1.0,9.0,4.0,14.0,5.0,6.0,1.0,15.0,0.0,0.0,0.99375,0.518425929288035,0.5818742675852292,0.8833333333333333,59.97013161517282,Trung bình,129,2,0.0,0.7843916727691179,1.0,0.0,0.5896209037172706,44.42795922024624,3
apple_flagship_store,88201679,47107796456,"Máy tính bảng iPad Air, M4 chip, 11 inch, 128GB",16689000.0,16689000.0,0,4.964285714285714,0.0,207 sold,200 Sold/Month,398,Apple,https://shopee.vn/product/88201679/47107796456,"máy tính bảng ipad air, m4 chip, 11 inch, 128gb",207,200,apple_flagship_store,tablet,ipad air m4 chip 11 inch 128gb,128gb,ipad air 128gb,74,21.9,22.0,22.0,0.8333333333333334,0.0,0.1666666666666666,0.9954545454545454,99.77272727272728,0.0,0.0,0.5,1.0,1.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2.0,4.0,5.0,4.0,2.0,0.0,5.0,0.0,1.0,0.9928571428571429,0.48513738933324574,0.4493261931451111,0.9977272727272728,86.55928381041083,Đáng mua,20,2,1.0,0.9954545454545456,0.0,1.0,1.0,84.86363636363636,1
viettel_store_aar,308461157,55007101399,iPad Air M4 11 inch WIFI 5G 128GB Chính hãng ZA/A,20990000.0,24890000.0,16,5.0,0.0,27 sold,26 Sold/Month,39,Apple,https://shopee.vn/product/308461157/55007101399,ipad air m4 11 inch wifi 5g 128gb chính hãng za/a,27,26,viettel_store_aar,tablet,ipad air m4 11 inch wifi 5g 128gb za a,128gb,ipad air 128gb,74,6.7,6.0,6.0,1.0,0.0,0.0,1.1166666666666667,100.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.30286940770290993,0.27885505099500285,1.0,57.33159162549367,Trung bình,144,2,0.0,1.0,1.0,0.0,0.6206071563358557,51.206071563358556,2
viettel_store_aar,308461157,56907100714,iPad Air M4 11 inch WIFI 128GB Chính hãng ZA/A,20690000.0,20690000.0,0,5.0,0.0,72 sold,57 Sold/Month,107,Apple,https://shopee.vn/product/308461157/56907100714,ipad air m4 11 inch wifi 128gb chính hãng za/a,72,57,viettel_store_aar,tablet,ipad air m4 11 inch wifi 128gb za a,128gb,ipad air 128gb,74,,,0.0,0.0,0.0,,,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0697512206463613,1.0,0.389966733958249,0.0,0.5,42.59328152553277,Cần cân nhắc,266,2,0.0697512206463613,0.0,1.0,0.4778531340297839,0.0,24.260333629837596,3
apple_flagship_store,88201679,26768295651,Apple iPad mini 7 8.3-inch Wi-Fi 128GB,13690000.0,13990000.0,2,4.921739130434783,0.0,2k+ sold,289 Sold/Month,1505,Apple,https://shopee.vn/product/88201679/26768295651,apple ipad mini 7 8.3-inch wi-fi 128gb,2000,289,apple_flagship_store,tablet,apple ipad mini 7 8.3 inch wi fi 128gb,128gb,ipad mini 128gb,76,310.0,352.0,352.0,0.7841991697674178,0.121991210117902,0.0938096201146801,0.8806818181818182,94.03409090909092,0.8,0.0,0.9428571428571428,0.9411764705882352,0.9701492537313432,0.9090909090909092,0.8536585365853658,0.7741935483870968,0.8666666666666667,0.0,0.0,0.5,0.0142857142857142,0.0588235294117647,0.0149253731343283,0.0909090909090909,0.073170731707317,0.2258064516129032,0.12,0.0,0.2,0.5,0.0428571428571428,0.0,0.0149253731343283,0.0,0.073170731707317,0.0,0.0133333333333333,0.0,5.0,2.0,70.0,17.0,67.0,44.0,41.0,31.0,75.0,0.0,1.0,0.9843478260869565,0.6909036392444722,0.8406833429441088,0.9403409090909092,91.66757181257456,Đáng mua,10,2,1.0,1.0,0.0,1.0,1.0,85.0,1
viettel_store_aar,308461157,27268388300,iPad Mini 7 WIFI 128GB Chính hãng,14290000.0,14290000.0,0,4.972602739726027,0.0,1k+ sold,74 Sold/Month,975,Apple,https://shopee.vn/product/308461157/27268388300,ipad mini 7 wifi 128gb chính hãng,1000,74,viettel_store_aar,tablet,ipad mini 7 wifi 128gb,128gb,ipad mini 128gb,76,,,0.0,0.0,0.0,,,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9945205479452055,0.6279477929960038,0.0,0.5,44.30962785384417,Cần cân nhắc,258,2,0.0,0.0,1.0,0.0,0.0,15.0,2
apple_flagship_store,88201679,18093055535,Điện thoại Apple iPhone 15 128GB,18490000.0,22999000.0,20,4.935712914987526,0.0,20k+ sold,274 Sold/Month,24108,Apple,https://shopee.vn/product/88201679/18093055535,điện thoại apple iphone 15 128gb,20000,274,apple_flagship_store,phone,apple iphone 15 128gb,128gb,iphone 15 128gb,82,1062.6,1057.0,1057.0,0.9480072113389956,0.0279238886730153,0.0240688999879891,1.005298013245033,100.0,0.8823529411764706,1.0,0.9661016949152542,0.9738562091503268,0.9872881355932204,0.9871794871794872,0.7739130434782608,1.0,0.96137339055794,0.0,0.0588235294117647,0.0,0.0169491525423728,0.0065359477124183,0.0,0.0128205128205128,0.1304347826086956,0.0,0.0257510729613733,0.0,0.0588235294117647,0.0,0.0169491525423728,0.0196078431372549,0.0127118644067796,0.0,0.0956521739130434,0.0,0.0128755364806866,0.0,17.0,15.0,118.0,153.0,236.0,156.0,115.0,14.0,233.0,0.0,0.5,0.9871425829975052,0.9001483982037645,0.9979825596160162,1.0,85.72490322916674,Đáng mua,22,2,0.5,1.0,1.0,1.0,1.0,85.0,1
viettel_store_aar,308461157,21684104015,Apple iPhone 15 128GB Chính hãng VN/A,18490000.0,24190000.0,24,4.932823129251701,0.0,10k+ sold,557 Sold/Month,9252,Apple,https://shopee.vn/product/308461157/21684104015,apple iphone 15 128gb chính hãng vn/a,10000,557,viettel_store_aar,phone,apple iphone 15 128gb vn a,128gb,iphone 15 128gb,82,535.5,542.0,542.0,0.9054286776204392,0.0465890296302029,0.0479822927493576,0.9880073800738008,99.40036900369005,0.6666666666666666,0.8888888888888888,0.9027777777777778,1.0,1.0,0.9863013698630136,0.7288135593220338,1.0,0.9754098360655736,0.0,0.1111111111111111,0.1111111111111111,0.0138888888888888,0.0,0.0,0.0136986301369863,0.1694915254237288,0.0,0.0,0.0,0.2222222222222222,0.0,0.0833333333333333,0.0,0.0,0.0,0.1016949152542373,0.0,0.0245901639344262,0.0,9.0,9.0,72.0,68.0,122.0,73.0,59.0,8.0,122.0,0.0,0.5,0.9865646258503402,0.8371516844512277,0.9023955917922348,0.9940036900369005,83.6326344028046,Đáng mua,28,2,0.5,0.0,0.0,0.0,0.0,15.0,2
apple_flagship_store,88201679,22880091028,Điện thoại Apple iPhone 15 256GB,21489000.0,25999000.0,17,4.945985401459854,0.0,3k+ sold,63 Sold/Month,3963,Apple,https://shopee.vn/product/88201679/22880091028,điện thoại apple iphone 15 256gb,3000,63,apple_flagship_store,phone,apple iphone 15 256gb,256gb,iphone 15 256gb,83,436.2,481.0,481.0,0.8544278972568922,0.0831044417838116,0.0624676609592961,0.9068607068607067,95.34303534303534,0.6,0.5,0.9393939393939394,0.9574468085106383,0.963302752293578,0.9272727272727272,0.7450980392156863,1.0,0.9117647058823528,1.0,0.2,0.25,0.0303030303030303,0.0425531914893617,0.018348623853211,0.0545454545454545,0.1764705882352941,0.0,0.0588235294117647,0.0,0.2,0.25,0.0303030303030303,0.0,0.018348623853211,0.0181818181818181,0.0784313725490196,0.0,0.0294117647058823,0.0,5.0,8.0,66.0,47.0,109.0,55.0,51.0,3.0,136.0,1.0,1.0,0.9891970802919708,0.7277418703768002,0.8853188426013436,0.9534303534303534,93.15616869041546,Đáng mua,8,2,1.0,1.0,1.0,1.0,1.0,100.0,1
