shop,shop_id,item_id,product_name,current_price,original_price,discount_percent,rating,rating_count,sold_count,monthly_sold,liked_count,brand,product_url,product_name_clean,sold_count_num,monthly_sold_num,shop_clean,product_type,product_name_norm,storage_options,canonical_product_name,canonical_product_id,absa_weighted_sum,absa_weight_sum,total_aspect_mentions,avg_positive_rate,avg_negative_rate,avg_neutral_rate,absa_score_raw,absa_score,BATTERY_positive_rate,CAMERA_positive_rate,DESIGN_positive_rate,FEATURES_positive_rate,GENERAL_positive_rate,PERFORMANCE_positive_rate,PRICE_positive_rate,SCREEN_positive_rate,SERANDACC_positive_rate,STORAGE_positive_rate,BATTERY_negative_rate,CAMERA_negative_rate,DESIGN_negative_rate,FEATURES_negative_rate,GENERAL_negative_rate,PERFORMANCE_negative_rate,PRICE_negative_rate,SCREEN_negative_rate,SERANDACC_negative_rate,STORAGE_negative_rate,BATTERY_neutral_rate,CAMERA_neutral_rate,DESIGN_neutral_rate,FEATURES_neutral_rate,GENERAL_neutral_rate,PERFORMANCE_neutral_rate,PRICE_neutral_rate,SCREEN_neutral_rate,SERANDACC_neutral_rate,STORAGE_neutral_rate,BATTERY_total_mentions,CAMERA_total_mentions,DESIGN_total_mentions,FEATURES_total_mentions,GENERAL_total_mentions,PERFORMANCE_total_mentions,PRICE_total_mentions,SCREEN_total_mentions,SERANDACC_total_mentions,STORAGE_total_mentions,price_score,rating_score,sold_score,review_confidence_score,absa_score_norm,buy_score_100,recommendation_label,rank
apple_flagship_store,88201679,28482841084,Apple iPad A16 11 inch 2025 Wifi 256GB,13690000.0,13990000.0,2,4.890173410404624,0.0,1k+ sold,86 Sold/Month,1840,Apple,https://shopee.vn/product/88201679/28482841084,apple ipad a16 11 inch 2025 wifi 256gb,1000,86,apple_flagship_store,tablet,apple ipad a16 11 inch 2025 wifi 256gb,256gb,ipad a16 256gb,73,198.5,203.0,203.0,0.945012395012395,0.0224432974432974,0.0325443075443075,0.9778325123152708,98.89162561576354,1.0,0.0,0.9047619047619048,1.0,1.0,0.9230769230769232,0.7272727272727273,1.0,0.95,1.0,0.0,0.0,0.0476190476190476,0.0,0.0,0.0384615384615384,0.0909090909090909,0.0,0.025,0.0,0.0,0.0,0.0476190476190476,0.0,0.0,0.0384615384615384,0.1818181818181818,0.0,0.025,0.0,3.0,0.0,21.0,19.0,41.0,26.0,33.0,16.0,40.0,4.0,1.0,0.9780346820809248,0.6279477929960038,0.7621033390472434,0.9889162561576355,91.26843161176005,Đáng mua,11
apple_flagship_store,88201679,28460903007,Điện thoại Apple iPhone 16 Plus 128GB,24990000.0,25999000.0,4,4.92094861660079,0.0,5k+ sold,145 Sold/Month,2266,Apple,https://shopee.vn/product/88201679/28460903007,điện thoại apple iphone 16 plus 128gb,5000,145,apple_flagship_store,phone,apple iphone 16 plus 128gb,128gb,iphone 16 plus 128gb,85,34.1,31.0,31.0,1.0,0.0,0.0,1.1,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,4.0,6.0,5.0,3.0,2.0,5.0,0.0,1.0,0.984189723320158,0.7741595142564696,0.4966508666289703,1.0,91.26269584653991,Đáng mua,12
viettel_store_aar,308461157,4953760805,Phụ kiện Apple 20W USB-C Power Adapter chính hãng ZA/A,549000.0,650000.0,16,4.960810810810811,0.0,6k+ sold,222 Sold/Month,1949,Apple,https://shopee.vn/product/308461157/4953760805,phụ kiện apple 20w usb-c power adapter chính hãng za/a,6000,222,viettel_store_aar,charger_cable_accessory,apple 20w usb c power adapter za a,,apple 20w usb c power adapter,5,513.7,506.0,506.0,0.9423377813826712,0.0393229296180244,0.0183392889993041,1.0152173913043478,100.0,0.9508196721311476,0.0,0.935483870967742,1.0,0.981012658227848,0.8571428571428571,0.8297872340425532,1.0,0.9844559585492229,0.0,0.0163934426229508,0.0,0.032258064516129,0.0,0.0063291139240506,0.1428571428571428,0.1063829787234042,0.0,0.0103626943005181,0.0,0.0327868852459016,0.0,0.032258064516129,0.0,0.0126582278481012,0.0,0.0638297872340425,0.0,0.005181347150259,0.0,61.0,0.0,31.0,1.0,158.0,14.0,47.0,1.0,193.0,0.0,0.820627802690583,0.9921621621621621,0.7907279835543999,0.8925652370807309,1.0,91.14551043463113,Đáng mua,13
apple_flagship_store,88201679,42618391133,Điện thoại Apple iPhone 17 Pro 256GB,35390000.0,35390000.0,0,4.951985226223453,0.0,5k+ sold,940 Sold/Month,4314,Apple,https://shopee.vn/product/88201679/42618391133,điện thoại apple iphone 17 pro 256gb,5000,940,apple_flagship_store,phone,apple iphone 17 pro 256gb,256gb,iphone 17 pro 256gb,88,24.5,22.0,22.0,1.0,0.0,0.0,1.1136363636363635,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,4.0,3.0,3.0,1.0,6.0,0.0,1.0,0.9903970452446906,0.7741595142564696,0.4493261931451111,1.0,90.91359555019197,Đáng mua,14
tecno_official_store,442733715,29980129689,"Điện Thoại Tecno Spark 30 5G | (6+6)GB/128GB | Camera 108MP | Màn Hình 6.67"" 120Hz |Chính Hãng",3390000.0,5490000.0,38,4.8929188255613125,0.0,1k+ sold,370 Sold/Month,865,TECNO,https://shopee.vn/product/442733715/29980129689,điện thoại tecno spark 30 5g 6+6 gb/128gb camera 108mp màn hình 6.67 120hz chính hãng,1000,370,tecno_official_store,phone,tecno spark 30 5g 6gb 6gb 128gb camera 108mp màn hình 6.67 inch 120hz,128gb,tecno spark 30 5g 128gb,214,545.2,673.0,673.0,0.7866961576445809,0.0931922862008408,0.1201115561545782,0.8101040118870729,90.50520059435364,0.68,0.5625,0.8571428571428571,0.8714285714285714,0.9709302325581396,0.8469387755102041,0.4761904761904761,0.7105263157894737,0.8913043478260869,1.0,0.2,0.1875,0.1071428571428571,0.0714285714285714,0.0232558139534883,0.0714285714285714,0.0,0.1842105263157894,0.0869565217391304,0.0,0.12,0.25,0.0357142857142857,0.0571428571428571,0.005813953488372,0.0816326530612244,0.5238095238095238,0.1052631578947368,0.0217391304347826,0.0,25.0,16.0,56.0,70.0,172.0,98.0,105.0,38.0,92.0,1.0,1.0,0.9785837651122625,0.6279477929960038,0.9333663815887792,0.9050520059435364,90.47611619137919,Đáng mua,15
apple_flagship_store,88201679,26841370473,Điện thoại Apple iPhone 17 256GB,24999000.0,24999000.0,0,4.936865839909808,0.0,4k+ sold,892 Sold/Month,4801,Apple,https://shopee.vn/product/88201679/26841370473,điện thoại apple iphone 17 256gb,4000,892,apple_flagship_store,phone,apple iphone 17 256gb,256gb,iphone 17 256gb,87,20.8,19.0,19.0,1.0,0.0,0.0,1.0947368421052632,100.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,3.0,3.0,0.0,5.0,0.0,1.0,0.9873731679819617,0.7538821828534723,0.42929786676678056,1.0,90.34867477010913,Đáng mua,16
samsung_official_store,65589552,2103555064,"Máy hút bụi dạng hộp Samsung 360W VC18M3110VB/SV - Turbine Không Xoắn Tóc, màu Xanh Dương",1645680.0,2290000.0,28,4.908990011098779,0.0,5k+ sold,68 Sold/Month,2714,SAMSUNG,https://shopee.vn/product/65589552/2103555064,"máy hút bụi dạng hộp samsung 360w vc18m3110vb/sv - turbine không xoắn tóc, màu xanh dương",5000,68,samsung_official_store,home_appliance,máy hút bụi dạng hộp samsung 360w vc18m3110vb turbine không xoắn tóc màu xanh dương,,máy hút bụi dạng hộp samsung,119,97.0,96.0,96.0,0.9476851851851852,0.0092592592592592,0.0430555555555555,1.0104166666666667,100.0,0.0,0.0,0.9444444444444444,0.8666666666666667,1.0,1.0,0.875,0.0,1.0,0.0,0.0,0.0,0.0555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1333333333333333,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,18.0,15.0,26.0,13.0,8.0,0.0,16.0,0.0,0.8946875532096032,0.9817980022197558,0.7741595142564696,0.6555704865495815,1.0,90.17124645397804,Đáng mua,17
apple_flagship_store,88201679,40818391346,Điện thoại Apple iPhone Air 256GB,24290000.0,31999000.0,24,4.866533864541832,0.0,2k+ sold,272 Sold/Month,1220,Apple,https://shopee.vn/product/88201679/40818391346,điện thoại apple iphone air 256gb,2000,272,apple_flagship_store,phone,apple iphone air 256gb,256gb,iphone air 256gb,93,130.5,158.0,158.0,0.7913042068679323,0.1076272175536881,0.1010685755783795,0.8259493670886076,91.29746835443038,0.6,0.4444444444444444,0.9523809523809524,0.5,0.96875,0.9166666666666666,0.8823529411764706,1.0,0.8571428571428571,0.0,0.2,0.3333333333333333,0.0238095238095238,0.1666666666666666,0.03125,0.0833333333333333,0.0588235294117647,0.0,0.0714285714285714,0.0,0.2,0.2222222222222222,0.0238095238095238,0.3333333333333333,0.0,0.0,0.0588235294117647,0.0,0.0714285714285714,0.0,10.0,9.0,42.0,6.0,32.0,12.0,17.0,2.0,28.0,0.0,1.0,0.9733067729083664,0.6909036392444722,0.72638993145964,0.9129746835443038,89.48282986775993,Đáng mua,18
xiaomiofficialstore,340431675,48656445603,"(Pre-order) Điện thoại POCO X8 Pro 5G (8+256GB| 8+512GB| 12+512GB) | Màn 6.59"" 1,5K 120Hz | D8500U | 50MP",9490000.0,10990000.0,14,4.956756756756757,0.0,533 đã bán,191 đã bán/tháng,511,Xiaomi,https://shopee.vn/product/340431675/48656445603,"pre-order điện thoại poco x8 pro 5g 8+256gb 8+512gb 12+512gb màn 6.59 1,5k 120hz d8500u 50mp",533,191,xiaomiofficialstore,phone,poco x8 pro 5g 8gb 256gb 8gb 512gb 12gb 512gb màn 6.59 inch 1 5k 120hz d8500u 50mp,"256gb, 512gb",poco x8 pro 5g,153,114.0,146.0,146.0,0.7705246913580246,0.0669753086419753,0.1625,0.7808219178082192,89.04109589041096,1.0,0.5,0.9166666666666666,1.0,0.9722222222222222,0.6,0.3333333333333333,0.8,0.8125,0.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.1333333333333333,0.1111111111111111,0.15,0.125,0.0,0.0,0.5,0.0,0.0,0.0277777777777777,0.2666666666666666,0.5555555555555556,0.05,0.0625,0.0,4.0,2.0,12.0,17.0,36.0,30.0,9.0,20.0,16.0,0.0,1.0,0.9913513513513514,0.5708352419778946,0.7151447019015221,0.8904109589041096,87.25333144283395,Đáng mua,19
apple_flagship_store,88201679,47107796456,"Máy tính bảng iPad Air, M4 chip, 11 inch, 128GB",16689000.0,16689000.0,0,4.964285714285714,0.0,207 sold,200 Sold/Month,398,Apple,https://shopee.vn/product/88201679/47107796456,"máy tính bảng ipad air, m4 chip, 11 inch, 128gb",207,200,apple_flagship_store,tablet,ipad air m4 chip 11 inch 128gb,128gb,ipad air 128gb,74,21.9,22.0,22.0,0.8333333333333334,0.0,0.1666666666666666,0.9954545454545454,99.77272727272728,0.0,0.0,0.5,1.0,1.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2.0,4.0,5.0,4.0,2.0,0.0,5.0,0.0,1.0,0.9928571428571429,0.48513738933324574,0.4493261931451111,0.9977272727272728,86.55928381041083,Đáng mua,20
